Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,Face Covering Requirements,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
5/11/2020 11:30:43,Puerto Rico,4/27/2020,State-wide,,Travel restrictions for out of state travelers,,,,,,,,"""Additionally, we were the first in the nation to activate the Puero Rico National Gudard to impose the first 100% passenger health screening at the airports. Futhermore, every individual must submit to 14 days of mandatory quarantine upon arrival to the island. the Governor also announced the closure of ports to all cruise ships on the island.""",https://twitter.com/wandavazquezg/status/1255217473412087814?s=20
5/18/2020 14:58:44,Rhode Island,5/8/2020,State-wide,,,Shelter-in-place order lifted,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Henry McMaster, a Republican, was among the last to issue a stay-at-home order and was also among the first to begin opening up his state, starting April 20. The reopening began with retail stores, which are under instructions to operate at 20 percent capacity."" and """"Certain parks reopened for day use on May 9. Visitors must bring face coverings, and indoor spaces, playgrounds and athletic fields are closed.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/18/2020 15:00:45,Rhode Island,4/18/2020,State-wide,,,,,,Face covering requirements for the public (non-workers) in certain situations,,,,"""Raimondo signed an executive order requiring client-facing businesses and nonprofits to provide face coverings to all employees, to be worn in the workplace with few exceptions. Businesses must also direct customers to wear face coverings. The order is effective April 18 for at least one month, and compliance will be monitored through Department of Business Regulation spot checks.""",https://www.npr.org/847331283#rhode-island
5/18/2020 14:57:55,South Carolina,4/20/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""The order also reopens certain retail stores beginning 5:00 p.m. on April 20, and requires them to adhere to strict social distancing requirements. Examples of operational retailers include furniture stores, clothing and shoe stores, book and craft stores, flea markets, florists and department stores except for hardware and home improvement stores.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/18/2020 14:53:37,South Carolina,4/27/2020,State-wide,,Travel restrictions for out of state travelers lifted,,,,,,,,"""The governor lifted an order that previously required travelers from New York, New Jersey, Connecticut, and Louisiana to self-quarantine for 14 days.""",https://www.npr.org/847415273
5/18/2020 14:57:08,South Carolina,5/4/2020,State-wide,,,Shelter-in-place order lifted,,,,,Bar and dine-in restaurant open with extra requirements,,"""McMaster lifted the order on May 4."" and ""Once the ""home or work"" order expired on May 4, restaurants were able to resume outdoor customer dining services in line with sanitation and social distancing guidelines. """,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html and https://www.npr.org/847415273
5/18/2020 14:57:08,South Carolina,5/18/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Close contact service providers, fitness and exercise centers, commercial gyms — including group exercise classes — and public or commercial pools can open in a limited capacity beginning May 18.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/18/2020 14:17:59,Tennessee,4/30/2020,State-wide,,,Shelter-in-place order lifted,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/15/2020 0:32:04,Texas,5/1/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""The state will be in its first phase of reopening from May 1 until at least May 18. Certain businesses and services may resume operations if they limit capacity and follow strict protocols.""",https://www.npr.org/847415273
5/15/2020 0:33:38,Texas,5/1/2020,State-wide,,Travel restrictions for out of state travelers lifted,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Beginning May 1, the mandatory 14-day quarantine period is no longer required for travelers from Louisiana. It remains in place for travelers from California, Connecticut, New York, New Jersey and Washington state, as well as the cities of Atlanta, Chicago, Detroit and Miami."" and """"All retail stores, restaurants, movie theaters and malls were allowed to reopen May 1, with limited capacity.""""",https://www.npr.org/847415273 and https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/15/2020 0:29:45,Utah,5/1/2020,State-wide,,,Shelter-in-place order lifted,Banned gatherings of a certain size,20,,,Bar and dine-in restaurant open with extra requirements,Non-essential businesses allowed to operate possibly with extra requirements,"""The state moved from the ""high risk"" phase to the ""moderate phase"" of its recovery timeline on May 1. "" and ""Previously closed businesses like gyms, bars and personal care services can reopen if they exercise strict precautions. Dine-in services can resume if restaurants meet specific distancing and hygiene requirements, though takeout and delivery are encouraged."" and ""Private social interactions are allowable in groups of 20 or fewer in the moderate-risk phase,""",https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state
5/15/2020 0:29:45,Utah,5/16/2020,Selected counties (most of state),,,,Banned gatherings of a certain size,50,,,,,"""Herbert announced that much of the state will move into the ""low risk"" phase on May 16""  and ""In the yellow or low-risk phase, most residents are no longer asked to ""leave home infrequently."" While schools remain closed, opportunities for driver's education will reopen. The gathering limit for private social interactions grows from 20 to 50 people. """,https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state
5/11/2020 14:56:24,Vermont,4/20/2020,State-wide,,,,,,Face covering requirements for the public (non-workers) in certain situations,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""The Agency of Commerce and Community Development has issued guidance authorizing certain outdoor businesses, construction operations and professional services to operate if they can meet specific safety requirements, beginning April 20."" and ""An executive order requires the use of cloth face coverings in public ""wherever close contact is unavoidable,"" including while using public transit and ride-sharing services, beginning April 20.""",https://www.npr.org/847331283#vermont
5/11/2020 14:57:43,Vermont,4/24/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""The order also allows additional operations to reopen, provided they can comply with the outlined measures. Certain manufacturing, distributing and construction operations can resume with a maximum of five workers per location. Outdoor retail space can allow in-person shopping with a maximum of 10 people present. Upon approval from local municipalities, farmers' markets may reopen beginning May 1 with specific restrictions in place.""",https://www.npr.org/847331283#vermont
5/11/2020 14:58:32,Vermont,5/4/2020,State-wide,,,,Banned gatherings of a certain size,10,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Scott announced that effective May 4, crews of 10 people or fewer can perform outdoor and construction work in unoccupied job sites. Manufacturing and distribution operations may resume with a maximum of 10 employees in any one location. Effective May 11, manufacturing, construction and distribution operations may restart with ""as few employees as necessary to permit full operations"" if they meet all health and safety requirements and develop enhanced training programs.""",https://www.npr.org/847331283#vermont
5/11/2020 14:45:07,Virginia,5/1/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Northam announced that non-emergency surgeries and dental procedures can resume beginning May 1, and must adhere to safety and supply guidelines.""",https://www.npr.org/2020/05/01/847415273/south-coronavirus-related-restrictions-by-state
5/11/2020 14:45:07,Virginia,5/15/2020,Selected counties (most of state),,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Ralph Northam, a Democrat, announced that most of Virginia would begin its first phase of reopening starting May 15, when salons could open by appointment and restaurants and bars could allow outdoor dining. The reopening excludes northern Virginia, near Washington, D.C., which is expected to be shut down until at least May 28.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
