Country_Region,Province_State,Regions,State of emergency declared,Date Enacted,Planned End Date,Actual End Date,Measure Called,Type,Comments,Leaving Residence Allowed,K-12 School Closure,Non-essential Business Closure,Non-essential Retail Closure,Bar/Sitdown-restaurant Closure,Out-of-state travel restrictions,Gathering banned,Gathering (deprecated),Reference,Reference,,Coding,Definition
United States,Texas,All,03-13-2020,04-02-2020,04-30-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,Limited quarantine,10 or more,,,,,,
United States,U.S. Virgin Islands,All,03-13-2020,03-25-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,,https://www.vi.gov/governor-bryan-orders-residents-to-stay-at-home-non-essential-businesses-to-end-in-person-operations/,,,,
United States,Nevada,All,03-12-2020,04-01-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,10 or more,,https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Declaration-of-Emergency-Directive-010-Stay-at-Home-3-31-20.pdf,,,,
United States,South Carolina,All,03-13-2020,04-07-2020,,,Stay st home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,Limited quarantine,50 or more,,,,,,
United States,Oklahoma,All,03-15-2020,03-24-2020,04-30-2020,,Safer at home,Social Distancing,"adults over the age of 65, and those with serious health conditions.",Some Restriction,Entire Semester,Close Regional Nonessential,Regional,Yes,No,11 or more,,https://www.news9.com/story/41964123/governor-stitt-extends-safer-at-home-executive-order-to-all-77-counties,,,,
United States,Utah,All,03-06-2020,,,,,Social Distancing,,,Temporary,Yes,Yes,Yes,No,10 or more,,,,,,
United States,Wyoming,All,03-12-2020,,,,,Social Distancing,,,Temporary,Yes,Yes,Yes,Limited quarantine,10 or more,,https://www.foxnews.com/media/john-barrasso-wyoming-still-has-no-stay-at-home-order,,,,
United States,Oklahoma,Norman,03-15-2020,03-25-2020,,,Stay at home,Level 2 Lockdown,,,Entire Semester,Close Regional Nonessential,Regional,Yes,No,11 or more,,,,,,
United States,Oklahoma,"Oklahoma City, Tulsa",03-15-2020,03-28-2020,,,Shelter in place,Level 2 Lockdown,,,Entire Semester,Close Regional Nonessential,Regional,Yes,No,11 or more,,,,,,
United States,Utah,Summit County,03-06-2020,03-27-2020,,,Stay at home,Level 2 Lockdown,,,Temporary,Yes,Yes,Yes,No,10 or more,,,,,,
United States,Utah,Salt Lake County,03-06-2020,03-30-2020,,,Stay at home,Level 2 Lockdown,,,Temporary,Yes,Yes,Yes,No,10 or more,,,,,,
United States,Wyoming,Jackson,03-12-2020,03-28-2020,,,Stay at home,Level 2 Lockdown,,,Temporary,Yes,Yes,Yes,No,10 or more,,,,,,
United States,Guam,All,03-14-2020,03-20-2020,,,Stay at home,Level 2 Lockdown,"unsure, conflicting data, government website down",,Temporary,Yes,Yes,Yes,No,All,,https://www.guampdn.com/story/news/local/2020/03/29/coronavirus-guam-governor-stay-at-home-order/2937725001/,,,,
United States,American Samoa,All,01-29-2020,,,,,None,,,,None,No,Yes,Travel suspended,10 or more,,,,,,
United States,Arkansas,All,03-11-2020,,,,,None,,,,Yes,Yes,Yes,No,10 or more,,,,,,
United States,Iowa,All,03-09-2020,,,,,None,,,,Yes,Yes,Yes,No,10 or more,,,,,,
United States,Nebraska,All,03-13-2020,,,,,None,,,,Most,Restricted,Restricted,Limited quarantine,10 or more,,,,,,
United States,North Dakota,All,03-13-2020,,,,,None,,,,Yes,Yes,Yes,No,50 or more,,,,,,
United States,N. Mariana Islands,All,01-29-2020,,,,,None,,,,None,No,Yes,No,10 or more,,,,,,
United States,South Dakota,All,03-13-2020,,,,,None,,,,None,No,Yes,No,50 or more,,,,,,
