,dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
8,2020-04-28,1934408,110261256,34.20000000000004,34.20000000000004,0.9999999999999999,0.6000000000000001,Nebraska
9,2020-05-04,2901612,112195664,35.000000000000036,35.000000000000036,1.5000000000000004,1.0000000000000002,Nebraska
10,2020-05-13,2901612,112195664,35.000000000000036,35.000000000000036,1.5000000000000004,1.0000000000000002,Nebraska
11,2020-05-18,2901612,112195664,35.000000000000036,35.000000000000036,1.5000000000000004,1.0000000000000002,Nebraska
0,2020-03-13,623989,1247978,0.2,0.2,1.0,0.10000000000000002,Vermont
1,2020-03-15,623989,1247978,0.8,0.8,1.0,0.4000000000000001,Vermont
2,2020-03-16,623989,1247978,1.2000000000000002,1.2000000000000002,1.0,0.4274998437472456,Vermont
3,2020-03-25,623989,1247978,2.0,2.0,1.0,1.0,Vermont
4,2020-03-30,623989,1247978,2.0,2.0,1.0,1.0,Vermont
5,2020-04-20,623989,1247978,2.0,2.0,1.0,1.0,Vermont
6,2020-04-24,623989,1247978,2.0,2.0,1.0,1.0,Vermont
7,2020-05-04,623989,1247978,2.0,2.0,1.0,1.0,Vermont
0,2020-03-12,9986857,9986857,0.4,0.4,1.0,0.4,Michigan
1,2020-03-13,9986857,9986857,0.4,0.4,1.0,0.4,Michigan
2,2020-03-16,9986857,9986857,0.6,0.6,1.0,0.6,Michigan
3,2020-03-17,9986857,9986857,0.6,0.6,1.0,0.6,Michigan
4,2020-03-24,9986857,9986857,1.0,1.0,1.0,1.0,Michigan
5,2020-04-24,9986857,9986857,1.0,1.0,1.0,1.0,Michigan
6,2020-05-22,9986857,9986857,1.0,1.0,1.0,1.0,Michigan
0,2020-03-10,5758736,74863568,1.3,1.3,1.0,0.1,Colorado
1,2020-03-18,5758736,74863568,10.600000000000001,10.600000000000001,1.0,0.8002840553899329,Colorado
2,2020-03-23,5758736,74863568,11.200000000000001,11.200000000000001,1.0,0.8295131084321282,Colorado
3,2020-03-25,5758736,74863568,12.8,12.8,0.9999999999999998,0.9401657933268688,Colorado
4,2020-03-26,5758736,74863568,13.0,13.0,0.9999999999999998,0.9999999999999998,Colorado
5,2020-04-27,5758736,74863568,13.0,13.0,0.9999999999999998,0.9999999999999998,Colorado
6,2020-05-01,5758736,74863568,13.0,13.0,0.9999999999999998,0.9999999999999998,Colorado
7,2020-05-04,5758736,74863568,13.0,13.0,0.9999999999999998,0.9999999999999998,Colorado
8,2020-05-27,5758736,74863568,13.0,13.0,0.9999999999999998,0.9999999999999998,Colorado
0,2020-03-12,2913314,55352966,1.9000000000000006,1.9000000000000006,0.9999999999999999,0.1,Kansas
1,2020-03-15,2913314,55352966,7.600000000000002,7.600000000000002,0.9999999999999999,0.4,Kansas
2,2020-03-16,2913314,55352966,7.600000000000002,7.600000000000002,0.9999999999999999,0.4,Kansas
3,2020-03-17,2913314,55352966,8.200000000000003,8.200000000000003,0.9999999999999999,0.4527598466900581,Kansas
4,2020-03-22,2913314,55352966,9.800000000000004,9.800000000000004,0.9999999999999999,0.5863783306571142,Kansas
5,2020-03-24,2913314,55352966,10.400000000000004,10.400000000000004,0.9999999999999999,0.6115576968359744,Kansas
6,2020-03-25,2913314,55352966,12.800000000000002,12.800000000000002,1.0,0.7293559156342226,Kansas
7,2020-03-26,2913314,55352966,15.200000000000001,15.200000000000001,1.0,0.7758697483347143,Kansas
8,2020-03-27,2913314,55352966,15.8,15.8,1.0,0.7805728459067577,Kansas
9,2020-03-28,2913314,55352966,17.6,17.6,1.0,0.7883248424303045,Kansas
10,2020-03-30,2913314,55352966,19.0,19.0,1.0,1.0,Kansas
11,2020-05-04,2913314,55352966,19.0,19.0,1.0,1.0,Kansas
12,2020-05-22,2913314,55352966,19.0,19.0,1.0,1.0,Kansas
0,2020-03-12,5822434,11644868,0.2,0.2,1.0,0.1,Wisconsin
1,2020-03-13,5822434,11644868,0.8,0.8,1.0,0.4,Wisconsin
2,2020-03-16,5822434,11644868,0.8,0.8,1.0,0.4,Wisconsin
3,2020-03-17,5822434,11644868,0.8,0.8,1.0,0.4,Wisconsin
4,2020-03-23,5822434,11644868,1.4,1.4,1.0,0.4610079908162119,Wisconsin
5,2020-03-24,5822434,11644868,2.0,2.0,1.0,1.0,Wisconsin
6,2020-04-27,5822434,11644868,2.0,2.0,1.0,1.0,Wisconsin
7,2020-05-13,5822434,11644868,2.0,2.0,1.0,1.0,Wisconsin
0,2020-03-06,4467673,4467673,0.1,0.1,1.0,0.1,Kentucky
1,2020-03-16,4467673,4467673,0.6,0.6,1.0,0.6,Kentucky
2,2020-03-23,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
3,2020-04-01,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
4,2020-05-06,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
5,2020-05-11,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
6,2020-05-22,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
0,2020-02-29,7614893,60919144,0.7999999999999999,0.7999999999999999,1.0,0.1,Washington
1,2020-03-11,7614893,60919144,1.4000000000000001,1.4000000000000001,1.0,0.20452792967675318,Washington
2,2020-03-12,7614893,60919144,3.1999999999999997,3.1999999999999997,1.0,0.4,Washington
3,2020-03-15,7614893,60919144,4.8,4.8,1.0,0.6,Washington
4,2020-03-21,7614893,60919144,5.199999999999999,5.199999999999999,1.0,0.6058444419376608,Washington
5,2020-03-22,7614893,60919144,5.999999999999999,5.999999999999999,1.0,0.6212689528270456,Washington
6,2020-03-23,7614893,60919144,8.0,8.0,1.0,1.0,Washington
7,2020-03-24,7614893,60919144,8.0,8.0,1.0,1.0,Washington
8,2020-05-05,7614893,60919144,8.0,8.0,1.0,1.0,Washington
9,2020-05-11,7614893,60919144,8.0,8.0,1.0,1.0,Washington
0,2020-03-12,7278717,58229736,0.7999999999999999,0.7999999999999999,1.0,0.10000000000000002,Arizona
1,2020-03-17,7278717,58229736,2.2000000000000006,2.2000000000000006,1.0,0.3121765278138991,Arizona
2,2020-03-20,7278717,58229736,4.699999999999999,4.699999999999999,1.0,0.6711538723101886,Arizona
3,2020-03-31,7278717,58229736,8.0,8.0,1.0,1.0,Arizona
4,2020-05-08,7278717,58229736,8.0,8.0,1.0,1.0,Arizona
