State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference
Oklahoma,Regional,Oklahoma City,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,March 28 – Oklahoma City and Tulsa issued shelter-in-place orders effective March 28 through April 16.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,649021,https://www.census.gov/quickfacts/oklahomacitycityoklahoma
Oklahoma,Regional,Owasso,4/1/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"March 31 – Lawton issued a shelter-in-place order effective April 1. and ""Broken Arrow issued a shelter-in-place order effective April 1."" and ""April 1 – Owasso issued a shelter-in-place order effective April 1 until April 14.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,36722,https://www.census.gov/quickfacts/owassocityoklahoma
Oklahoma,Regional,Stillwater,3/30/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"March 30 – Stillwater issued a shelter-in-place order effective March 30 through April 16. and  ""Edmond issued a shelter-in-place order effective March 30 through April 16.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,50391,https://www.census.gov/quickfacts/stillwatercityoklahoma
Oklahoma,Regional,City of Tulsa,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,March 28 – Oklahoma City and Tulsa issued shelter-in-place orders effective March 28 through April 16.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-14,400669,https://www.census.gov/quickfacts/tulsacityoklahoma
Oregon,State-wide,Oregon,2/28/20,NA,NA,NA,Banned gatherings of a certain size,250,NA,NA,NA,On February 28...She later ordered the cancellation of events for 250 or more people.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,2020-04-14,4217737,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770034
Oregon,State-wide,Oregon,3/12/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,"On March 12, Governor Brown ordered all K–12 schools closed statewide from March 16 to March 31, 2020. Just five days later, Brown extended the closure through April 28.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#School_closures,2020-04-14,4217737,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770035
Oregon,State-wide,Oregon,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,Non-essential businesses closed,"After growing calls from local officials, Governor Brown issued a statewide stay-at-home order on March 23 effective immediately with class C misdemeanor charges for violators.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,2020-04-14,4217737,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770036
Oregon,State-wide,Oregon,3/8/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,Oregon Gov. Kate Brown declared a state of emergency on Sunday to contain the new coronavirus after the number of confirmed cases doubled to 14 from the previous day.,https://www.usnews.com/news/best-states/oregon/articles/2020-03-08/oregon-declares-state-of-emergency-to-fight-new-coronavirus,2020-04-14,4217737,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770037
Pennsylvania,State-wide,Pennsylvania,3/13/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,"On March 13, Governor Wolf announced that all Pennsylvania schools will be closed for at least two weeks",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,2020-04-14,12801989,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770038
Pennsylvania,State-wide,Pennsylvania,4/1/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On April 1, Governor Wolf added the remaining 34 counties to the order, placing all of Pennsylvania under a stay-at-home order.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,12801989,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770039
Pennsylvania,State-wide,Pennsylvania,3/16/20,NA,NA,NA,NA,NA,NA,NA,Non-essential businesses closed,"As of March 16, in Philadelphia only essential commercial establishments may remain open, including: grocery stores, pharmacies, daycare centers, hardware stores, gas stations, banks, post offices, laundromats, and veterinary clinics.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,12801989,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770040
Pennsylvania,Regional,Allegheny,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Philadelphia imposed a stay-at-home order effective March 23. Allegheny County issued a stay-at-home order effective March 23 for two weeks. Governor Tom Wolf issued a stay-at-home order for Allegheny, Bucks, Chester, Delaware, Monroe, and Montgomery effe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,1216045,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770303
Pennsylvania,Regional,Beaver,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 28, the order was revised to include Beaver, Centre, and Washington counties.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,163929,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770304
Pennsylvania,Regional,Berks,3/27/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 27, the governor's stay-at-home order was revised to include Berks, Butler, Lackawanna, Lancaster, Luzerne, Pike, Wayne, Westmoreland, and York counties effective March 27 until April 6.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,421164,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770305
Pennsylvania,Regional,Bucks,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Philadelphia imposed a stay-at-home order effective March 23. Allegheny County issued a stay-at-home order effective March 23 for two weeks. Governor Tom Wolf issued a stay-at-home order for Allegheny, Bucks, Chester, Delaware, Monroe, and Montgomery effe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,628270,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770306
Pennsylvania,Regional,Butler,3/27/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 27, the governor's stay-at-home order was revised to include Berks, Butler, Lackawanna, Lancaster, Luzerne, Pike, Wayne, Westmoreland, and York counties effective March 27 until April 6.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,187853,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770307
Pennsylvania,Regional,Cameron,3/31/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 31, the order was revised to include Cameron, Crawford, Forest, Franklin, Lawrence, Lebanon, and Somerset counties.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,4447,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770308
Pennsylvania,Regional,Carbon,3/30/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 30, the order was revised to include Carbon, Cumberland, Dauphin, and Schuylkill counties",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,64182,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770309
Pennsylvania,Regional,Centre,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 28, the order was revised to include Beaver, Centre, and Washington counties.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,162385,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770310
Pennsylvania,Regional,Chester,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Philadelphia imposed a stay-at-home order effective March 23. Allegheny County issued a stay-at-home order effective March 23 for two weeks. Governor Tom Wolf issued a stay-at-home order for Allegheny, Bucks, Chester, Delaware, Monroe, and Montgomery effe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,524989,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770311
Pennsylvania,Regional,Crawford,3/31/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 31, the order was revised to include Cameron, Crawford, Forest, Franklin, Lawrence, Lebanon, and Somerset counties.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,84629,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770312
Pennsylvania,Regional,Cumberland,3/30/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 30, the order was revised to include Carbon, Cumberland, Dauphin, and Schuylkill counties",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,253370,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770313
Pennsylvania,Regional,Dauphin,3/30/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 30, the order was revised to include Carbon, Cumberland, Dauphin, and Schuylkill counties",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,278299,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770314
Pennsylvania,Regional,Delaware,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Philadelphia imposed a stay-at-home order effective March 23. Allegheny County issued a stay-at-home order effective March 23 for two weeks. Governor Tom Wolf issued a stay-at-home order for Allegheny, Bucks, Chester, Delaware, Monroe, and Montgomery effe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,2020-04-14,566747,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770315
