Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/10/2020 16:26:54,California,03-13-2020,"Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Ontario-Montclair, Alta Loma Unified, San Diego, Los Alamitos Unified, and Washington Unified School Distrcts.",,,,,,Schools closed,,,"""On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Ontario-Montclair, Alta Loma Unified, San Diego, Los Alamitos Unified, and Washington Unified school districts.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response
4/10/2020 16:28:19,California,03-17-2020,"Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara.",,,Shelter-in-place order,,,,,,"""On March 16, the health officers of Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara counties announced, with the City of Berkeley, a legal order directing their respective residents to shelter in place for three weeks beginning midnight March 17 ....""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response
4/10/2020 16:38:34,California,03-19-2020,State-wide,,,Shelter-in-place order,,,,,,"""On March 19, Governor Newsom announced a statewide stay at home order with all residents except those working in essential occupations urged to stay at home.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 10:36:44,Colorado,03-10-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 10, Governor Polis declared a state of disaster emergency. """,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 10:37:37,Colorado,03-18-2020,San Miguel,,,Shelter-in-place order,,,,,,"""San Miguel County imposed a stay-at-home order effective March 18 through April 3 at the earliest.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 10:39:17,Colorado,03-23-2020,"Denver, Boulder, and Pitkin",,,Shelter-in-place order,,,,,,"""On March 23, the cities of Denver and Boulder issued a stay-at-home order effective March 24 through April 10 at the earliest, and Pitkin County issued a stay-at-home order effective immediately.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/11/2020 10:42:17,Colorado,03-25-2020," Boulder, Jefferson, Broomfield, Adams, Arapahoe, Larimer, Weld, and Douglas",,,Shelter-in-place order,,,,,,"""On March 25, Boulder, Jefferson, Broomfield, Adams, Arapahoe, and Douglas counties issued stay-at-home orders effective March 26 through April 17."" and ""Erie extended the order to the entire city, including portions in Weld County."" and ""On March 25, Larimer County issued a stay-at-home order effective March 26 through April 17.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 10:43:13,Colorado,03-26-2020,State-wide,,,Shelter-in-place order,,,,,,"""These jurisdictions rescinded their orders in favor of the statewide order on March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 10:47:38,Colorado,03-18-2020,State-wide,,,,Banned gatherings of a certain size,50,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"""Govenor Jared Polis expanded the closures by ordering a state-wide closure of dine-in services, gyms, casinos, and theaters."" and ""On March 18, Governor Jared Polis closed schools until April 17 and banned gatherings of more than 10 people for the following 30 days."" and ""On March 19, Colorado reported two more COVID-19-related deaths, one of which was a man related to Colorado's first death. Govenor Jared Polis extended the closure of bars, restaurants, theaters, gymnasiums and casinos until April 30 and suspended all nonessential medical procedures. The governor also ordered the closure of ""nonessential"" businesses until April 30, which include nail salons, spas, and tattoo parlors.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response
4/11/2020 10:51:44,Connecticut,03-10-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 10, governor Ned Lamont declared a civil preparedness and public health emergency in response to the coronavirus.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut
4/11/2020 10:52:11,Connecticut,03-13-2020,State-wide,,,,,,Schools closed,,,"""On March 13, governor Lamont ordered all schools to close after March 16 until at least March 31""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut
4/11/2020 10:53:30,Delaware,03-12-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 12, Delaware Governor John Carney declared a state of emergency.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response
4/11/2020 10:54:27,Delaware,03-13-2020,State-wide,,,,,,Schools closed,,,"""Late on March 13, Governor Carney closed all Delaware Public Schools from March 16 to March 27.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response
4/11/2020 10:56:06,Delaware,03-23-2020,State-wide,,,Shelter-in-place order,,,,,,"""On March 23, Governor John Carney has issued the stay-at-home order to stop the spread of COVID-19. All non-essential businesses have been ordered to close.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response
4/11/2020 10:57:33,Florida,03-01-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 1, Governor DeSantis declared a public health emergency after two cases were confirmed in Manatee County and Hillsborough County.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response
4/11/2020 10:59:54,Florida,03-24-2020,Miami Beach and Alachua,,,Shelter-in-place order,,,,,,"""On March 23, Miami Beach issued a stay-at-home order effective March 24."" and ""Alachua County issued a stay-at-home order effective March 24 until further notice""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:00:54,Florida,03-25-2020,Doral and Leon,,,Shelter-in-place order,,,,,,"""On March 24, Leon County issued a stay-at-home order and nighttime curfew effective March 25."" and ""Doral issued a ""safer-at-home order"" effective March 25 through April 1.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:03:31,Florida,03-26-2020,"Osceola, Parkland, Pinellas, Plantation, Sunny Isles Beach, Weston",,,Shelter-in-place order,,,,,,"""On March 25, Osceola County issued a stay-at-home order effective March 26 until April 9."" and  ""Pinellas County issued a ""safer-at-home"" order effective March 26 until April 2."" and ""Parkland issued a shelter-in-place order effective March 26 until further notice."" and ""Weston issued a ""safer-at-home order"" effective March 26."" and ""Sunny Isles Beach issued a stay-at-home order effective March 26."" and ""Plantation issued a ""safer-at-home order"" effective March 26 until further notice.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:05:46,Florida,03-27-2020,"Coral Springs, Broward, and Hillsborough",,,Shelter-in-place order,,,,,,"""On March 26, Broward County issued a stay-at-home order effective March 27 until further notice."" and ""Hillsborough County issued a ""safer-at-home order"" effective March 27"" and ""Coral Springs issued a stay-at-home order effective March 27 until further notice.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
