,Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links,Unnamed: 0,Face Covering Requirements
234,4/11/2020 11:05:46,Florida,03-27-2020,"Coral Springs, Broward, and Hillsborough",,,Shelter-in-place order,,,,,,"""On March 26, Broward County issued a stay-at-home order effective March 27 until further notice."" and ""Hillsborough County issued a ""safer-at-home order"" effective March 27"" and ""Coral Springs issued a stay-at-home order effective March 27 until further notice.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
235,4/11/2020 11:46:29,Georgia,03-27-2020,"Bartow, Cartersville, and Doraville",,,Shelter-in-place order,,,,,,"""On March 26, Cartersville and surrounding Bartow County issued shelter-in-place orders effective March 27 through April 7."" and  ""Doraville issued a shelter-in-place order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
236,4/11/2020 14:33:51,Kansas,03-27-2020,Sumner,,,Shelter-in-place order,,,,,,"""On March 26, Sumner County issued a stay-at-home order effective March 27 through April 25.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
237,4/14/2020 9:54:20,Massachusetts,03-27-2020,State-wide,,Travel restrictions for out of state travelers,,,,,,,"""On March 27, Governor Baker asked travelers from out of state to avoid Massachusetts or to self-quarantine upon arrival for 14 days. """,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Massachusetts#Government_response,,
238,4/14/2020 10:13:06,Minnesota,03-27-2020,State-wide,,,Shelter-in-place order,,,,,,"""Governor Tim Walz signs Executive Order 20-20. This order states that all people currently residing in Minnesota are to shelter in place beginning March 27, 2020 at 11:59PM through April 10, 2020 at 5:00PM.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,,
239,4/14/2020 10:31:27,Missouri,03-27-2020,Caldwell,,,Shelter-in-place order,,,,,,"""Caldwell County issued a stay-at-home order effective March 27 until further notice""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
240,4/14/2020 14:18:30,New Hampshire,03-27-2020,State-wide,,,Shelter-in-place order,,,,,,"""On March 26, 2020 Governor Sununu announced a stay-at-home order going into effect the following day at midnight requiring the closure of all non-essential in-person businesses.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,,
241,4/14/2020 17:17:35,North Carolina,03-27-2020,"Guilford, Greensboro, High Point, Winston-Salem, Forsyth, Clemmons, Buncome, Gaston, and Orange",,,Shelter-in-place order,,,,,,"""On March 25, Guilford County, Greensboro, and High Point issued stay-at-home orders effective March 27 through April 16."" and ""Winston-Salem issued a stay-at-home order effective March 27 until April 16, with Forsyth County joining the order on March 26."" and ""Clemmons issued a shelter-in-place order effective March 27 until April 16."" ""Buncombe County issued a stay-at-home order effective March 27 through April 9."" and ""Gaston County issued a stay-at-home order effective March 27 until April 16."" and ""Orange County issued a stay-at-home order effective March 27 until April 30 at the earliest.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,,
242,4/14/2020 18:45:16,Pennsylvania,03-27-2020,"Berks, Butler, Lackawanna, Lancaster, Luzerne, Pike, Wayne, Westmoreland, and York",,,Shelter-in-place order,,,,,,"""On March 27, the governor's stay-at-home order was revised to include Berks, Butler, Lackawanna, Lancaster, Luzerne, Pike, Wayne, Westmoreland, and York counties effective March 27 until April 6.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,,
243,4/14/2020 17:59:59,South Carolina,03-27-2020,Williamsburg,,,Shelter-in-place order,,,,,,"""Williamsburg County issued a stay-at-home order effective March 27 for 14 days.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,,
