,dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
2,2020-03-12,19453561,194535610,3.0999999999999996,3.0999999999999996,0.9999999999999999,0.30497341335090267,New York
3,2020-03-13,19453561,194535610,3.599999999999999,3.599999999999999,1.0,0.31167136443553956,New York
4,2020-03-16,19453561,194535610,3.8999999999999995,3.8999999999999995,1.0,0.3312103629767321,New York
5,2020-03-22,19453561,194535610,10.0,10.0,0.9999999999999999,0.9999999999999999,New York
0,2020-03-13,12801989,435267626,13.600000000000007,13.600000000000007,0.9999999999999998,0.4000000000000001,Pennsylvania
1,2020-03-16,12801989,435267626,27.200000000000014,27.200000000000014,0.9999999999999998,0.8000000000000002,Pennsylvania
2,2020-03-23,12801989,435267626,28.600000000000016,28.600000000000016,1.0,0.8862580806779321,Pennsylvania
3,2020-03-25,12801989,435267626,29.200000000000017,29.200000000000017,0.9999999999999999,0.9010109600937791,Pennsylvania
4,2020-03-27,12801989,435267626,31.00000000000001,31.00000000000001,1.0,0.941425914363776,Pennsylvania
5,2020-03-28,12801989,435267626,31.60000000000001,31.60000000000001,1.0,0.9497555418927482,Pennsylvania
6,2020-03-30,12801989,435267626,32.400000000000006,32.400000000000006,0.9999999999999999,0.9612726584908019,Pennsylvania
7,2020-03-31,12801989,435267626,33.8,33.8,1.0,0.9698979119572748,Pennsylvania
8,2020-04-01,12801989,435267626,34.0,34.0,1.0,1.0,Pennsylvania
0,2020-03-11,4648794,9297588,0.2,0.2,1.0,0.1,Louisiana
1,2020-03-16,4648794,9297588,1.6,1.6,1.0,0.8,Louisiana
2,2020-03-20,4648794,9297588,1.8,1.8,1.0,0.8168218251873497,Louisiana
3,2020-03-23,4648794,9297588,2.0,2.0,1.0,1.0,Louisiana
0,2020-03-06,4467673,4467673,0.1,0.1,1.0,0.1,Kentucky
1,2020-03-16,4467673,4467673,0.6,0.6,1.0,0.6,Kentucky
2,2020-03-17,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
3,2020-03-23,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
4,2020-04-01,4467673,4467673,0.8,0.8,1.0,0.8,Kentucky
0,2020-02-28,4217737,4217737,0.3,0.3,1.0,0.3,Oregon
1,2020-03-08,4217737,4217737,0.3,0.3,1.0,0.3,Oregon
2,2020-03-12,4217737,4217737,0.4,0.4,1.0,0.4,Oregon
3,2020-03-23,4217737,4217737,1.0,1.0,1.0,1.0,Oregon
0,2020-03-13,1359711,1359711,0.1,0.1,1.0,0.1,New Hampshire
1,2020-03-15,1359711,1359711,0.4,0.4,1.0,0.4,New Hampshire
2,2020-03-16,1359711,1359711,0.6,0.6,1.0,0.6,New Hampshire
3,2020-03-27,1359711,1359711,1.0,1.0,1.0,1.0,New Hampshire
0,2020-03-13,1787065,3574130,0.2,0.2,1.0,0.09999999999999999,Idaho
1,2020-03-17,1787065,3574130,1.1,1.1,1.0,0.11159381443875852,Idaho
2,2020-03-23,1787065,3574130,1.4,1.4,1.0,0.40772920962583903,Idaho
3,2020-03-25,1787065,3574130,2.0,2.0,1.0,1.0,Idaho
0,2020-03-11,2096829,2096829,0.1,0.1,1.0,0.1,New Mexico
1,2020-03-24,2096829,2096829,1.0,1.0,1.0,1.0,New Mexico
0,2020-03-09,8882190,17764380,0.2,0.2,1.0,0.1,New Jersey
1,2020-03-10,8882190,17764380,0.8,0.8,1.0,0.4,New Jersey
2,2020-03-14,8882190,17764380,1.4,1.4,1.0,0.4036109337899775,New Jersey
3,2020-03-16,8882190,17764380,2.0,2.0,1.0,1.0,New Jersey
4,2020-03-21,8882190,17764380,2.0,2.0,1.0,1.0,New Jersey
0,2020-03-12,973764,973764,0.1,0.1,1.0,0.1,Delaware
1,2020-03-13,973764,973764,0.4,0.4,1.0,0.4,Delaware
2,2020-03-23,973764,973764,1.0,1.0,1.0,1.0,Delaware
0,2020-03-09,12671821,12671821,0.1,0.1,1.0,0.1,Illinois
1,2020-03-15,12671821,12671821,0.6,0.6,1.0,0.6,Illinois
2,2020-03-16,12671821,12671821,0.6,0.6,1.0,0.6,Illinois
3,2020-03-17,12671821,12671821,0.6,0.6,1.0,0.6,Illinois
4,2020-03-21,12671821,12671821,1.0,1.0,1.0,1.0,Illinois
0,2020-03-06,6732219,6732219,0.1,0.1,1.0,0.1,Indiana
1,2020-03-16,6732219,6732219,0.6,0.6,1.0,0.6,Indiana
2,2020-03-19,6732219,6732219,0.6,0.6,1.0,0.6,Indiana
3,2020-03-25,6732219,6732219,1.0,1.0,1.0,1.0,Indiana
0,2020-03-04,1415872,5663488,0.4,0.4,1.0,0.09999999999999998,Hawaii
1,2020-03-16,1415872,5663488,1.6,1.6,1.0,0.3999999999999999,Hawaii
2,2020-03-19,1415872,5663488,2.0,2.0,1.0,0.5613111919721556,Hawaii
3,2020-03-20,1415872,5663488,2.6,2.6,1.0,0.591946588392171,Hawaii
4,2020-03-21,1415872,5663488,2.8000000000000003,2.8000000000000003,1.0,0.6204235976133435,Hawaii
5,2020-03-22,1415872,5663488,3.2,3.2,1.0,0.8957487682502373,Hawaii
6,2020-03-25,1415872,5663488,4.0,4.0,1.0,1.0,Hawaii
0,2020-03-09,3155070,3155070,0.1,0.1,1.0,0.1,Iowa
1,2020-03-15,3155070,3155070,0.4,0.4,1.0,0.4,Iowa
