date,region,mobility
5/20/2020,AR,135.07
5/21/2020,AR,142.68
5/22/2020,AR,162.68
5/23/2020,AR,155.95
5/24/2020,AR,121.08
5/25/2020,AR,115.65
5/26/2020,AR,130.57
5/27/2020,AR,132.47
5/28/2020,AR,137.67
5/29/2020,AR,166.7
5/30/2020,AR,160.26
5/31/2020,AR,121.57
6/1/2020,AR,136.45
6/2/2020,AR,137.45
6/3/2020,AR,138.01
6/4/2020,AR,148
1/13/2020,CA,100
1/14/2020,CA,104.39
1/15/2020,CA,109.34
1/16/2020,CA,109.36
1/17/2020,CA,129.78
1/18/2020,CA,122.26
1/19/2020,CA,94.19
1/20/2020,CA,103.49
1/21/2020,CA,107.08
1/22/2020,CA,109.41
1/23/2020,CA,114.18
1/24/2020,CA,128.14
1/25/2020,CA,122.28
1/26/2020,CA,91.63
1/27/2020,CA,101.95
1/28/2020,CA,105.89
1/29/2020,CA,106.63
1/30/2020,CA,110.97
1/31/2020,CA,128.51
2/1/2020,CA,121.9
2/2/2020,CA,84.06
2/3/2020,CA,100.77
2/4/2020,CA,105.21
2/5/2020,CA,108.44
2/6/2020,CA,114.26
2/7/2020,CA,130.28
2/8/2020,CA,125.41
2/9/2020,CA,93.45
2/10/2020,CA,107.18
2/11/2020,CA,111.65
2/12/2020,CA,114.05
2/13/2020,CA,124.88
2/14/2020,CA,150.11
2/15/2020,CA,130.03
2/16/2020,CA,106.16
2/17/2020,CA,111.6
2/18/2020,CA,113.94
2/19/2020,CA,114.47
2/20/2020,CA,120.36
2/21/2020,CA,137.45
2/22/2020,CA,129.22
2/23/2020,CA,103.92
2/24/2020,CA,111.7
2/25/2020,CA,114.15
2/26/2020,CA,115.08
2/27/2020,CA,119.27
2/28/2020,CA,136.49
2/29/2020,CA,131.51
3/1/2020,CA,98.24
3/2/2020,CA,107.42
3/3/2020,CA,115.82
3/4/2020,CA,112.66
3/5/2020,CA,118.41
3/6/2020,CA,133.54
3/7/2020,CA,124.57
3/8/2020,CA,97.19
3/9/2020,CA,103.6
3/10/2020,CA,104.83
3/11/2020,CA,105.59
3/12/2020,CA,103.43
3/13/2020,CA,106.77
3/14/2020,CA,86.16
3/15/2020,CA,66.24
3/16/2020,CA,77.57
3/17/2020,CA,68.07
3/18/2020,CA,63.09
3/19/2020,CA,60.53
3/20/2020,CA,59.09
3/21/2020,CA,49.54
3/22/2020,CA,38.73
3/23/2020,CA,47.87
3/24/2020,CA,47.95
3/25/2020,CA,48.01
3/26/2020,CA,48.85
3/27/2020,CA,53.87
3/28/2020,CA,45.24
3/29/2020,CA,37.42
3/30/2020,CA,47.97
3/31/2020,CA,48.72
4/1/2020,CA,49.62
4/2/2020,CA,49.1
4/3/2020,CA,55.49
4/4/2020,CA,46.36
4/5/2020,CA,35.48
4/6/2020,CA,43.85
4/7/2020,CA,45.44
4/8/2020,CA,46.02
4/9/2020,CA,45.78
4/10/2020,CA,53.26
4/11/2020,CA,50.09
4/12/2020,CA,33.83
4/13/2020,CA,48.35
4/14/2020,CA,51.04
4/15/2020,CA,54.19
4/16/2020,CA,54.41
4/17/2020,CA,60.08
4/18/2020,CA,54.76
4/19/2020,CA,45.63
4/20/2020,CA,54.55
4/21/2020,CA,54.87
4/22/2020,CA,57.01
4/23/2020,CA,59.03
4/24/2020,CA,66.53
4/25/2020,CA,62.01
4/26/2020,CA,51.05
4/27/2020,CA,58.46
4/28/2020,CA,60.66
4/29/2020,CA,61.24
4/30/2020,CA,64.44
5/1/2020,CA,73.47
5/2/2020,CA,68.46
5/3/2020,CA,57.11
5/4/2020,CA,65.18
5/5/2020,CA,67.93
5/6/2020,CA,67.97
5/7/2020,CA,70.65
5/8/2020,CA,82.5
5/9/2020,CA,79.74
5/10/2020,CA,63.04
5/11/2020,CA,0
5/12/2020,CA,0
5/13/2020,CA,73.64
5/14/2020,CA,76.73
5/15/2020,CA,90.21
